,Symbol,Description,Industry,Sector
667,CZNC,CITIZENS & NORTHERN CORP,Major Banks,Finance
668,CZR,"CAESARS ENTERTAINMENT, INC.",Hotels/Resorts,Consumer Services
669,D,"DOMINION ENERGY, INC.",Electric Utilities: Central,Public Utilities
670,DAKT,"DAKTRONICS, INC.",Miscellaneous manufacturing industries,Consumer Durables
671,DAL,"DELTA AIR LINES, INC.",Air Freight/Delivery Services,Transportation
672,DAN,DANA INCORPORATED,Auto Parts:O.E.M.,Capital Goods
673,DAR,DARLING INGREDIENTS INC.,Packaged Foods,Consumer Non-Durables
674,DBD,DIEBOLD NIXDORF INCORPORATED,Office Equipment/Supplies/Services,Miscellaneous
675,DCI,"DONALDSON COMPANY, INC.",Pollution Control Equipment,Capital Goods
676,DCO,DUCOMMUN INCORPORATED,Military/Government/Technical,Capital Goods
677,DCOM,"DIME COMMUNITY BANCSHARES, INC.",Savings Institutions,Finance
678,DCP,DCP MIDSTREAM LP,Natural Gas Distribution,Public Utilities
679,DCT,"DUCK CREEK TECHNOLOGIES, INC.",,
680,DCTH,"DELCATH SYSTEMS, INC.",Medical/Dental Instruments,Health Care
681,DD,"DUPONT DE NEMOURS, INC.",Major Chemicals,Basic Industries
682,DDD,3D SYSTEMS CORPORATION,Computer Software: Prepackaged Software,Technology
683,DDS,"DILLARD'S, INC.",Department/Specialty Retail Stores,Consumer Services
684,DE,DEERE & COMPANY,Industrial Machinery/Components,Capital Goods
685,DEA,"EASTERLY GOVERNMENT PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
686,DECK,DECKERS OUTDOOR CORPORATION,Shoe Manufacturing,Consumer Non-Durables
687,DEI,"DOUGLAS EMMETT, INC.",Real Estate Investment Trusts,Consumer Services
688,DELL,DELL TECHNOLOGIES INC.,Computer Manufacturing,Technology
689,DENN,DENNY'S CORPORATION,Restaurants,Consumer Services
690,DFIN,"DONNELLEY FINANCIAL SOLUTIONS, INC.",Other Consumer Services,Consumer Services
691,DFS,DISCOVER FINANCIAL SERVICES,Finance: Consumer Services,Finance
692,DG,DOLLAR GENERAL CORPORATION,Department/Specialty Retail Stores,Consumer Services
693,DGICA,"DONEGAL GROUP, INC.",Property-Casualty Insurers,Finance
694,DGII,DIGI INTERNATIONAL INC.,Computer Communications Equipment,Technology
695,DGX,QUEST DIAGNOSTICS INCORPORATED,Medical Specialities,Health Care
696,DHI,"D.R. HORTON, INC.",Homebuilding,Capital Goods
697,DHIL,"DIAMOND HILL INVESTMENT GROUP, INC.",Investment Managers,Finance
698,DHR,DANAHER CORPORATION,Industrial Machinery/Components,Capital Goods
699,DHT,"DHT HOLDINGS, INC.",Marine Transportation,Transportation
700,DHX,"DHI GROUP, INC.",Business Services,Miscellaneous
701,DIN,"DINE BRANDS GLOBAL, INC.",Restaurants,Consumer Services
702,DIOD,DIODES INCORPORATED,Semiconductors,Technology
703,DIS,WALT DISNEY COMPANY (THE),Services-Misc. Amusement & Recreation,Consumer Services
704,DISCA,"DISCOVERY, INC.",Television Services,Consumer Services
705,DISCK,"DISCOVERY, INC.",Television Services,Consumer Services
706,DISH,DISH NETWORK CORPORATION,Television Services,Consumer Services
707,DJCO,DAILY JOURNAL CORP. (S.C.),Newspapers/Magazines,Consumer Services
708,DK,"DELEK US HOLDINGS, INC.",Integrated oil Companies,Energy
709,DKS,DICK'S SPORTING GOODS INC,Other Specialty Stores,Consumer Services
710,DLA,"DELTA APPAREL, INC.",Apparel,Consumer Non-Durables
711,DLB,DOLBY LABORATORIES,Multi-Sector Companies,Miscellaneous
712,DLPH,DELPHI TECHNOLOGIES PLC,Auto Parts:O.E.M.,Capital Goods
713,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
714,DLTH,DULUTH HOLDINGS INC.,Clothing/Shoe/Accessory Stores,Consumer Services
715,DLTR,"DOLLAR TREE, INC.",Department/Specialty Retail Stores,Consumer Services
716,DLX,DELUXE CORPORATION,Publishing,Consumer Durables
717,DMRC,DIGIMARC CORPORATION,EDP Services,Technology
718,DNB,"DUN & BRADSTREET HOLDINGS, INC.",Finance: Consumer Services,Finance
719,DNKN,"DUNKIN' BRANDS GROUP, INC.",Restaurants,Consumer Services
720,DNOW,NOW INC.,Metal Fabrications,Energy
721,DNR,,,
722,DOC,PHYSICIANS REALTY TRUST,Real Estate Investment Trusts,Consumer Services
723,DOOR,MASONITE INTERNATIONAL CORPORATION,Forest Products,Basic Industries
724,DORM,"DORMAN PRODUCTS, INC.",Auto Parts:O.E.M.,Capital Goods
725,DOV,DOVER CORPORATION,Industrial Machinery/Components,Technology
726,DOW,DOW INC.,Major Chemicals,Basic Industries
727,DOX,AMDOCS LIMITED,EDP Services,Technology
728,DPZ,DOMINO'S PIZZA INC,Food Distributors,Consumer Non-Durables
729,DRE,DUKE REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
730,DRH,DIAMONDROCK HOSPITALITY COMPANY,Real Estate Investment Trusts,Consumer Services
731,DRI,"DARDEN RESTAURANTS, INC.",Restaurants,Consumer Services
732,DRIV,GLOBAL X AUTONOMOUS & ELECTRIC VEHICLES ETF,,
733,DRQ,"DRIL-QUIP, INC.",Metal Fabrications,Energy
734,DRRX,DURECT CORPORATION,Major Pharmaceuticals,Health Care
735,DS,DRIVE SHACK INC.,Restaurants,Consumer Services
736,DSKE,"DASEKE, INC.",Transportation Services,Consumer Services
737,DSL,DOUBLELINE INCOME SOLUTIONS FUND,,
738,DSPG,"DSP GROUP, INC.",Semiconductors,Technology
739,DTE,DTE ENERGY COMPANY,Electric Utilities: Central,Public Utilities
740,DUK,DUKE ENERGY CORPORATION,Power Generation,Public Utilities
741,DUSA,DAVIS SELECT U.S. EQUITY ETF,,
742,DVA,DAVITA INC.,Misc Health and Biotechnology Services,Health Care
743,DVAX,DYNAVAX TECHNOLOGIES CORPORATION,Major Pharmaceuticals,Health Care
744,DVD,"DOVER MOTORSPORTS, INC.",Services-Misc. Amusement & Recreation,Consumer Services
745,DVN,DEVON ENERGY CORPORATION,Oil & Gas Production,Energy
746,DWSN,DAWSON GEOPHYSICAL COMPANY,Oil & Gas Production,Energy
747,DX,"DYNEX CAPITAL, INC.",Real Estate Investment Trusts,Consumer Services
748,DXC,DXC TECHNOLOGY COMPANY,EDP Services,Technology
749,DXCM,"DEXCOM, INC.",Medical/Dental Instruments,Health Care
750,DXLG,"DESTINATION XL GROUP, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
751,DXPE,"DXP ENTERPRISES, INC.",Industrial Machinery/Components,Capital Goods
752,DY,"DYCOM INDUSTRIES, INC.",Water Supply,Basic Industries
753,EA,ELECTRONIC ARTS INC.,Computer Software: Prepackaged Software,Technology
754,EARN,ELLINGTON RESIDENTIAL MORTGAGE REIT,Real Estate Investment Trusts,Consumer Services
755,EAT,"BRINKER INTERNATIONAL, INC.",Restaurants,Consumer Services
756,EBAY,EBAY INC.,Business Services,Miscellaneous
757,EBF,"ENNIS, INC.",Office Equipment/Supplies/Services,Consumer Services
758,EBIX,"EBIX, INC.",EDP Services,Technology
759,EBS,"EMERGENT BIOSOLUTIONS, INC.",Major Pharmaceuticals,Health Care
760,EBSB,"MERIDIAN BANCORP, INC.",Major Banks,Finance
761,EBTC,ENTERPRISE BANCORP INC,Major Banks,Finance
762,ECHO,"ECHO GLOBAL LOGISTICS, INC.",Oil Refining/Marketing,Transportation
763,ECL,ECOLAB INC.,Package Goods/Cosmetics,Basic Industries
764,ECOL,"US ECOLOGY, INC.",Environmental Services,Public Utilities
765,ECOM,CHANNELADVISOR CORPORATION,Computer Software: Prepackaged Software,Technology
766,ECPG,ENCORE CAPITAL GROUP INC,Finance Companies,Finance
767,ED,CONSOLIDATED EDISON INC,Power Generation,Public Utilities
768,EDIT,"EDITAS MEDICINE, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
769,EE,,,
770,EEFT,"EURONET WORLDWIDE, INC.",Investment Bankers/Brokers/Service,Finance
771,EEX,"EMERALD HOLDING, INC.",Business Services,Miscellaneous
772,EFSC,ENTERPRISE FINANCIAL SERVICES CORPORATION,Major Banks,Finance
773,EFX,"EQUIFAX, INC.",Finance: Consumer Services,Finance
774,EGAN,EGAIN CORPORATION,Computer Software: Prepackaged Software,Technology
775,EGBN,"EAGLE BANCORP, INC.",Major Banks,Finance
776,EGHT,8X8 INC,EDP Services,Technology
777,EGLE,EAGLE BULK SHIPPING INC.,Marine Transportation,Transportation
778,EGOV,NIC INC.,Business Services,Miscellaneous
779,EGP,"EASTGROUP PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
780,EGRX,"EAGLE PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
781,EGY,"VAALCO ENERGY, INC.",Oil & Gas Production,Energy
782,EHTH,"EHEALTH, INC.",Specialty Insurers,Finance
783,EIG,EMPLOYERS HOLDINGS INC,Property-Casualty Insurers,Finance
784,EIGI,"ENDURANCE INTERNATIONAL GROUP HOLDINGS, INC.",Computer Software: Prepackaged Software,Technology
785,EIX,EDISON INTERNATIONAL,Electric Utilities: Central,Public Utilities
786,EL,"ESTEE LAUDER COMPANIES, INC. (THE)",Package Goods/Cosmetics,Consumer Non-Durables
787,ELF,"E.L.F. BEAUTY, INC.",Package Goods/Cosmetics,Consumer Non-Durables
788,ELS,"EQUITY LIFESTYLE PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
789,ELVT,"ELEVATE CREDIT, INC.",Finance: Consumer Services,Finance
790,ELY,CALLAWAY GOLF COMPANY,Recreational Products/Toys,Consumer Non-Durables
791,EMAN,EMAGIN CORPORATION,Semiconductors,Technology
792,EME,"EMCOR GROUP, INC.",Engineering & Construction,Capital Goods
793,EMKR,EMCORE CORPORATION,Semiconductors,Technology
794,EML,EASTERN COMPANY (THE),Industrial Machinery/Components,Capital Goods
795,EMN,EASTMAN CHEMICAL COMPANY,Major Chemicals,Basic Industries
796,EMR,EMERSON ELECTRIC COMPANY,Consumer Electronics/Appliances,Energy
797,ENDP,ENDO INTERNATIONAL PLC,Major Pharmaceuticals,Health Care
798,ENG,ENGLOBAL CORPORATION,Military/Government/Technical,Consumer Services
799,ENPH,"ENPHASE ENERGY, INC.",Semiconductors,Technology
800,ENR,"ENERGIZER HOLDINGS, INC.",Industrial Machinery/Components,Miscellaneous
801,ENS,ENERSYS,Telecommunications Equipment,Consumer Non-Durables
802,ENSG,"THE ENSIGN GROUP, INC.",Hospital/Nursing Management,Health Care
803,ENT,,,
804,ENTA,"ENANTA PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
805,ENTG,"ENTEGRIS, INC.",Plastic Products,Consumer Non-Durables
806,ENTR,ERSHARES ENTREPRENEUR 30 ETF,Exchange Traded Fund,Financial
807,ENV,"ENVESTNET, INC",Business Services,Miscellaneous
808,ENVA,"ENOVA INTERNATIONAL, INC.",Finance: Consumer Services,Finance
809,ENZ,"ENZO BIOCHEM, INC.",Medical Specialities,Health Care
810,EOG,"EOG RESOURCES, INC.",Oil & Gas Production,Energy
811,EPAM,"EPAM SYSTEMS, INC.",EDP Services,Technology
812,EPAY,"BOTTOMLINE TECHNOLOGIES, INC.",Computer Software: Prepackaged Software,Technology
813,EPC,EDGEWELL PERSONAL CARE,Package Goods/Cosmetics,Consumer Non-Durables
814,EPM,"EVOLUTION PETROLEUM CORPORATION, INC.",Oil & Gas Production,Energy
815,EPR,EPR PROPERTIES,Real Estate Investment Trusts,Consumer Services
816,EPZM,"EPIZYME, INC.",Major Pharmaceuticals,Health Care
817,EQBK,"EQUITY BANCSHARES, INC.",Major Banks,Finance
818,EQC,EQUITY COMMONWEALTH,Real Estate Investment Trusts,Consumer Services
819,EQIX,"EQUINIX, INC.",Real Estate Investment Trusts,Consumer Services
820,EQR,EQUITY RESIDENTIAL,Real Estate Investment Trusts,Consumer Services
821,EQT,EQT CORPORATION,Oil & Gas Production,Energy
822,ERIE,ERIE INDEMNITY COMPANY,Specialty Insurers,Finance
823,ERII,"ENERGY RECOVERY, INC.",Industrial Machinery/Components,Technology
824,EROS,EROS INTERNATIONAL PLC,Movies/Entertainment,Consumer Services
825,ES,EVERSOURCE ENERGY,Electric Utilities: Central,Public Utilities
826,ESCA,"ESCALADE, INCORPORATED",Recreational Products/Toys,Consumer Non-Durables
827,ESE,ESCO TECHNOLOGIES INC.,Telecommunications Equipment,Capital Goods
828,ESGR,ENSTAR GROUP LIMITED,Property-Casualty Insurers,Finance
829,ESI,ELEMENT SOLUTIONS INC.,Major Chemicals,Basic Industries
830,ESNT,ESSENT GROUP LTD.,Property-Casualty Insurers,Finance
831,ESPR,"ESPERION THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
832,ESRT,"EMPIRE STATE REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
833,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
834,ESSA,"ESSA BANCORP, INC.",Banks,Finance
835,ESTE,"EARTHSTONE ENERGY, INC.",Oil & Gas Production,Energy
836,ESXB,COMMUNITY BANKERS TRUST CORPORATION.,Major Banks,Finance
837,ET,ENERGY TRANSFER L.P.,Natural Gas Distribution,Public Utilities
838,ETFC,E*TRADE FINANCIAL CORPORATION,Savings Institutions,Finance
839,ETH,ETHAN ALLEN INTERIORS INC.,Home Furnishings,Consumer Durables
840,ETM,ENTERCOM COMMUNICATIONS CORP.,Broadcasting,Consumer Services
841,ETN,"EATON CORPORATION, PLC",Industrial Machinery/Components,Technology
842,ETR,ENTERGY CORPORATION,Electric Utilities: Central,Public Utilities
843,ETSY,"ETSY, INC.",Business Services,Miscellaneous
844,EV,EATON VANCE CORPORATION,Investment Managers,Finance
845,EVBG,"EVERBRIDGE, INC.",Computer Software: Prepackaged Software,Technology
846,EVBN,"EVANS BANCORP, INC.",Major Banks,Finance
847,EVC,ENTRAVISION COMMUNICATIONS CORPORATION,Broadcasting,Consumer Services
848,EVER,"EVERQUOTE, INC.","Computer Software: Programming, Data Processing",Technology
849,EVH,"EVOLENT HEALTH, INC",Other Consumer Services,Consumer Services
850,EVI,"EVI INDUSTRIES, INC.",Other Consumer Services,Consumer Services
851,EVR,EVERCORE INC.,Investment Managers,Finance
852,EVRI,EVERI HOLDINGS INC.,Services-Misc. Amusement & Recreation,Consumer Services
853,EVTC,"EVERTEC, INC.",EDP Services,Technology
854,EW,EDWARDS LIFESCIENCES CORPORATION,Industrial Specialties,Health Care
855,EWBC,"EAST WEST BANCORP, INC.",Major Banks,Finance
856,EXAS,EXACT SCIENCES CORPORATION,Biotechnology: Commercial Physical & Biological Resarch,Health Care
857,EXC,EXELON CORPORATION,Power Generation,Public Utilities
858,EXEL,"EXELIXIS, INC.",Biotechnology: Commercial Physical & Biological Resarch,Health Care
859,EXLS,"EXLSERVICE HOLDINGS, INC.",Business Services,Miscellaneous
860,EXP,EAGLE MATERIALS INC,Building Materials,Capital Goods
861,EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",Oil Refining/Marketing,Transportation
862,EXPE,"EXPEDIA GROUP, INC.",Transportation Services,Consumer Services
863,EXPO,"EXPONENT, INC.",Professional Services,Consumer Services
864,EXPR,"EXPRESS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
865,EXR,EXTRA SPACE STORAGE INC,Real Estate Investment Trusts,Consumer Services
866,EXTN,EXTERRAN CORPORATION,Diversified Commercial Services,Technology
867,EXTR,"EXTREME NETWORKS, INC.",Computer Communications Equipment,Technology
868,EZPW,"EZCORP, INC.",Other Specialty Stores,Consumer Services
869,F,FORD MOTOR COMPANY,Auto Manufacturing,Capital Goods
870,FAF,FIRST AMERICAN CORPORATION (THE),Specialty Insurers,Finance
871,FANG,"DIAMONDBACK ENERGY, INC.",Oil & Gas Production,Energy
872,FARM,FARMER BROTHERS COMPANY,Packaged Foods,Consumer Non-Durables
873,FARO,"FARO TECHNOLOGIES, INC.",Industrial Machinery/Components,Capital Goods
874,FAST,FASTENAL COMPANY,RETAIL: Building Materials,Consumer Services
875,FATE,"FATE THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
876,FB,"FACEBOOK, INC.","Computer Software: Programming, Data Processing",Technology
877,FBC,"FLAGSTAR BANCORP, INC.",Savings Institutions,Finance
878,FBHS,"FORTUNE BRANDS HOME & SECURITY, INC.",Homebuilding,Basic Industries
879,FBIO,"FORTRESS BIOTECH, INC.",Major Pharmaceuticals,Health Care
880,FBIZ,"FIRST BUSINESS FINANCIAL SERVICES, INC.",Major Banks,Finance
881,FBK,FB FINANCIAL CORPORATION,Major Banks,Finance
882,FBM,"FOUNDATION BUILDING MATERIALS, INC.",RETAIL: Building Materials,Consumer Services
883,FBMS,"THE FIRST BANCSHARES, INC.",Major Banks,Finance
884,FBNC,FIRST BANCORP,Major Banks,Finance
885,FBP,FIRST BANCORP.,Major Banks,Finance
886,FC,FRANKLIN COVEY COMPANY,Other Consumer Services,Consumer Services
887,FCAL,FIRST TRUST CALIFORNIA MUNICIPAL HIGH INCOME ETF,,
888,FCBC,"FIRST COMMUNITY BANKSHARES, INC.",Major Banks,Finance
889,FCEL,"FUELCELL ENERGY, INC.",Industrial Machinery/Components,Miscellaneous
890,FCF,FIRST COMMONWEALTH FINANCIAL CORPORATION,Major Banks,Finance
891,FCFS,"FIRSTCASH, INC.",Other Specialty Stores,Consumer Services
892,FCX,"FREEPORT-MCMORAN, INC.",Precious Metals,Basic Industries
893,FDP,"FRESH DEL MONTE PRODUCE, INC.",Farming/Seeds/Milling,Consumer Non-Durables
894,FDS,FACTSET RESEARCH SYSTEMS INC.,"Computer Software: Programming, Data Processing",Technology
895,FDUS,FIDUS INVESTMENT CORPORATION,,
896,FDX,FEDEX CORPORATION,Air Freight/Delivery Services,Transportation
897,FE,FIRSTENERGY CORP.,Electric Utilities: Central,Public Utilities
898,FELE,"FRANKLIN ELECTRIC CO., INC.",Metal Fabrications,Consumer Durables
899,FET,"FORUM ENERGY TECHNOLOGIES, INC.",Metal Fabrications,Energy
900,FEYE,"FIREEYE, INC.",Computer peripheral equipment,Technology
901,FF,FUTUREFUEL CORP.,Major Chemicals,Basic Industries
902,FFBC,FIRST FINANCIAL BANCORP.,Major Banks,Finance
903,FFG,"FBL FINANCIAL GROUP, INC.",Life Insurance,Finance
904,FFIC,FLUSHING FINANCIAL CORPORATION,Major Banks,Finance
905,FFIN,"FIRST FINANCIAL BANKSHARES, INC.",Major Banks,Finance
906,FFIV,"F5 NETWORKS, INC.",Computer Communications Equipment,Technology
907,FFNW,"FIRST FINANCIAL NORTHWEST, INC.",Major Banks,Finance
908,FFWM,FIRST FOUNDATION INC.,Major Banks,Finance
909,FGBI,"FIRST GUARANTY BANCSHARES, INC.",Savings Institutions,Finance
910,FGEN,"FIBROGEN, INC",Major Pharmaceuticals,Health Care
911,FHB,"FIRST HAWAIIAN, INC.",Major Banks,Finance
912,FHN,FIRST HORIZON NATIONAL CORPORATION,Major Banks,Finance
913,FI,FRANK'S INTERNATIONAL N.V.,Oilfield Services/Equipment,Energy
914,FIBK,"FIRST INTERSTATE BANCSYSTEM, INC.",Major Banks,Finance
915,FICO,FAIR ISAAC CORPORATION,Business Services,Miscellaneous
916,FIF,FIRST TRUST ENERGY INFRASTRUCTURE FUND,,
917,FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",Business Services,Miscellaneous
918,FISI,"FINANCIAL INSTITUTIONS, INC.",Major Banks,Finance
919,FISV,"FISERV, INC.",EDP Services,Technology
920,FIT,"FITBIT, INC.",Computer Manufacturing,Technology
921,FITB,FIFTH THIRD BANCORP,Major Banks,Finance
922,FIVE,"FIVE BELOW, INC.",Department/Specialty Retail Stores,Consumer Services
923,FIVN,"FIVE9, INC.",EDP Services,Technology
924,FIX,"COMFORT SYSTEMS USA, INC.",Engineering & Construction,Capital Goods
925,FIZZ,NATIONAL BEVERAGE CORP.,Beverages (Production/Distribution),Consumer Non-Durables
926,FL,"FOOT LOCKER, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
927,FLDM,FLUIDIGM CORPORATION,Biotechnology: Laboratory Analytical Instruments,Capital Goods
928,FLDR,FIDELITY MERRIMACK STREET TRUST,Exchange Traded Fund,Financial
929,FLEX,FLEX LTD.,Electrical Products,Technology
930,FLIC,THE FIRST OF LONG ISLAND CORPORATION,Major Banks,Finance
931,FLIR,"FLIR SYSTEMS, INC.",Industrial Machinery/Components,Capital Goods
932,FLO,"FLOWERS FOODS, INC.",Packaged Foods,Consumer Non-Durables
933,FLOW,"SPX FLOW, INC.",Industrial Machinery/Components,Technology
934,FLR,FLUOR CORPORATION,Military/Government/Technical,Basic Industries
935,FLS,FLOWSERVE CORPORATION,Fluid Controls,Capital Goods
936,FLT,"FLEETCOR TECHNOLOGIES, INC.",Business Services,Miscellaneous
937,FLWS,"1-800-FLOWERS.COM, INC.",Other Specialty Stores,Consumer Services
938,FLXN,"FLEXION THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
939,FLXS,"FLEXSTEEL INDUSTRIES, INC.",Home Furnishings,Consumer Durables
940,FMAO,"FARMERS & MERCHANTS BANCORP, INC.",Savings Institutions,Finance
941,FMBH,"FIRST MID BANCSHARES, INC.",Major Banks,Finance
942,FMBI,"FIRST MIDWEST BANCORP, INC.",Major Banks,Finance
943,FMC,FMC CORPORATION,Major Chemicals,Basic Industries
944,FMNB,FARMERS NATIONAL BANC CORP.,Major Banks,Finance
945,FN,FABRINET,Telecommunications Equipment,Public Utilities
946,FNB,F.N.B. CORPORATION,Major Banks,Finance
947,FND,"FLOOR & DECOR HOLDINGS, INC.",RETAIL: Building Materials,Consumer Services
948,FNF,"FIDELITY NATIONAL FINANCIAL, INC.",Specialty Insurers,Finance
949,FNHC,FEDNAT HOLDING COMPANY,Property-Casualty Insurers,Finance
950,FNLC,"FIRST BANCORP, INC (ME)",Major Banks,Finance
951,FNWB,FIRST NORTHWEST BANCORP,Banks,Finance
952,FOE,FERRO CORPORATION,Paints/Coatings,Basic Industries
953,FOLD,"AMICUS THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
954,FONR,FONAR CORPORATION,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
955,FOR,FORESTAR GROUP INC,Real Estate,Finance
956,FORM,"FORMFACTOR, INC.",Semiconductors,Technology
957,FORR,"FORRESTER RESEARCH, INC.",Diversified Commercial Services,Consumer Services
958,FOSL,"FOSSIL GROUP, INC.",Consumer Specialties,Consumer Non-Durables
959,FOX,FOX CORPORATION,Broadcasting,Consumer Services
960,FOXA,FOX CORPORATION,Broadcasting,Consumer Services
961,FOXF,FOX FACTORY HOLDING CORP.,Motor Vehicles,Consumer Non-Durables
962,FPI,FARMLAND PARTNERS INC.,Real Estate Investment Trusts,Consumer Services
963,FPL,FIRST TRUST NEW OPPORTUNITIES MLP & ENERGY FUND,,
964,FPRX,"FIVE PRIME THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
965,FR,"FIRST INDUSTRIAL REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
966,FRAN,FRANCESCA'S HOLDINGS CORPORATION,Clothing/Shoe/Accessory Stores,Consumer Services
967,FRBK,"REPUBLIC FIRST BANCORP, INC.",Major Banks,Finance
968,FRC,FIRST REPUBLIC BANK,,
969,FRGI,"FIESTA RESTAURANT GROUP, INC.",Restaurants,Consumer Services
970,FRME,FIRST MERCHANTS CORPORATION,Major Banks,Finance
971,FRO,FRONTLINE LTD.,Marine Transportation,Transportation
972,FRPH,"FRP HOLDINGS, INC.",Real Estate,Finance
973,FRPT,"FRESHPET, INC.",Packaged Foods,Consumer Non-Durables
974,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate Investment Trusts,Consumer Services
975,FRTA,"FORTERRA, INC.",Building Materials,Capital Goods
976,FSB,"FRANKLIN FINANCIAL NETWORK, INC.",Major Banks,Finance
977,FSLR,"FIRST SOLAR, INC.",Semiconductors,Technology
978,FSP,FRANKLIN STREET PROPERTIES CORP.,Real Estate Investment Trusts,Consumer Services
979,FSS,FEDERAL SIGNAL CORPORATION,Auto Manufacturing,Capital Goods
980,FSTR,L.B. FOSTER COMPANY,Metal Fabrications,Basic Industries
981,FTEK,"FUEL TECH, INC.",Pollution Control Equipment,Capital Goods
982,FTI,TECHNIPFMC PLC,Metal Fabrications,Energy
983,FTK,"FLOTEK INDUSTRIES, INC.",Major Chemicals,Basic Industries
984,FTNT,"FORTINET, INC.",Computer peripheral equipment,Technology
985,FTV,FORTIVE CORPORATION,Industrial Machinery/Components,Capital Goods
986,FUL,H. B. FULLER COMPANY,Home Furnishings,Basic Industries
987,FULT,FULTON FINANCIAL CORPORATION,Major Banks,Finance
988,FVE,FIVE STAR SENIOR LIVING INC.,Hospital/Nursing Management,Health Care
989,FWONA,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
990,FWONK,LIBERTY MEDIA CORPORATION,Broadcasting,Consumer Services
991,FWRD,FORWARD AIR CORPORATION,Oil Refining/Marketing,Transportation
992,G,GENPACT LIMITED,Professional Services,Consumer Services
993,GABC,"GERMAN AMERICAN BANCORP, INC.",Major Banks,Finance
994,GAIA,"GAIA, INC.",Movies/Entertainment,Consumer Services
995,GAIN,GLADSTONE INVESTMENT CORPORATION,,
996,GARS,GARRISON CAPITAL INC.,,
997,GATX,GATX CORPORATION,Transportation Services,Consumer Services
998,GBCI,"GLACIER BANCORP, INC.",Major Banks,Finance
999,GBDC,"GOLUB CAPITAL BDC, INC.",,
1000,GBL,"GAMCO INVESTORS, INC.",Investment Bankers/Brokers/Service,Finance
1001,GBLI,GLOBAL INDEMNITY LIMITED,Property-Casualty Insurers,Finance
1002,GBT,"GLOBAL BLOOD THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
1003,GBX,"GREENBRIER COMPANIES, INC. (THE)",Railroads,Capital Goods
1004,GCAP,,,
1005,GCBC,"GREENE COUNTY BANCORP, INC.",Banks,Finance
1006,GCI,"GANNETT CO., INC.",Newspapers/Magazines,Consumer Services
1007,GCO,GENESCO INC.,Clothing/Shoe/Accessory Stores,Consumer Services
1008,GCP,GCP APPLIED TECHNOLOGIES INC.,Major Chemicals,Basic Industries
1009,GD,GENERAL DYNAMICS CORPORATION,Marine Transportation,Capital Goods
1010,GDDY,GODADDY INC.,EDP Services,Technology
1011,GDEN,"GOLDEN ENTERTAINMENT, INC.",Services-Misc. Amusement & Recreation,Consumer Services
1012,GDOT,GREEN DOT CORPORATION,Finance: Consumer Services,Finance
1013,GDP,GOODRICH PETROLEUM CORPORATION,Oil & Gas Production,Energy
1014,GE,GENERAL ELECTRIC COMPANY,Consumer Electronics/Appliances,Energy
1015,GEF,"GREIF, INC.",,
1016,GEF.B,"GREIF, INC.",,
1017,GEN,"GENESIS HEALTHCARE, INC.",Hospital/Nursing Management,Health Care
1018,GENC,GENCOR INDUSTRIES INC.,Construction/Ag Equipment/Trucks,Capital Goods
1019,GEO,GEO GROUP INC (THE),Real Estate Investment Trusts,Consumer Services
1020,GEOS,GEOSPACE TECHNOLOGIES CORPORATION,Industrial Machinery/Components,Capital Goods
1021,GERN,GERON CORPORATION,Major Pharmaceuticals,Health Care
1022,GES,"GUESS, INC.",Apparel,Consumer Non-Durables
1023,GEVO,"GEVO, INC.",Major Chemicals,Basic Industries
1024,GFF,GRIFFON CORPORATION,Building Products,Capital Goods
1025,GGG,GRACO INC.,Fluid Controls,Capital Goods
1026,GHC,GRAHAM HOLDINGS COMPANY,Other Consumer Services,Consumer Services
1027,GHL,"GREENHILL & CO., INC.",Investment Bankers/Brokers/Service,Finance
1028,GHM,GRAHAM CORPORATION,Industrial Machinery/Components,Technology
