Symbol,Description,Industry,Sector
BREW,"CRAFT BREW ALLIANCE, INC.",Beverages (Production/Distribution),Consumer Non-Durables
BRG,"BLUEROCK RESIDENTIAL GROWTH REIT, INC.",Real Estate Investment Trusts,Consumer Services
BRK-B,BERKSHIRE HATHAWAY INC.,,
BRKL,"BROOKLINE BANCORP, INC.",Savings Institutions,Finance
BRKR,BRUKER CORPORATION,Biotechnology: Laboratory Analytical Instruments,Capital Goods
BRKS,"BROOKS AUTOMATION, INC.",Industrial Machinery/Components,Technology
BRLI,BRILLIANT ACQUISITION CORPORATION,Business Services,Finance
BRO,"BROWN & BROWN, INC.",Specialty Insurers,Finance
BRX,BRIXMOR PROPERTY GROUP INC.,Real Estate Investment Trusts,Consumer Services
BRY,BERRY CORPORATION (BRY),Oil & Gas Production,Energy
BSRR,SIERRA BANCORP,Major Banks,Finance
BSTC,BIOSPECIFICS TECHNOLOGIES CORP,Major Pharmaceuticals,Health Care
BSX,BOSTON SCIENTIFIC CORPORATION,Medical/Dental Instruments,Health Care
BTU,PEABODY ENERGY CORPORATION,Coal Mining,Energy
BUD,ANHEUSER-BUSCH INBEV SA,Beverages (Production/Distribution),Consumer Non-Durables
BUFF,,,
BURL,"BURLINGTON STORES, INC.",Department/Specialty Retail Stores,Consumer Services
BUSE,FIRST BUSEY CORPORATION,Major Banks,Finance
BV,"BRIGHTVIEW HOLDINGS, INC.",Farming/Seeds/Milling,Consumer Non-Durables
BW,BABCOCK,Building Products,Capital Goods
BWA,BORGWARNER INC.,Auto Parts:O.E.M.,Capital Goods
BWEN,"BROADWIND, INC.",Metal Fabrications,Capital Goods
BWFG,"BANKWELL FINANCIAL GROUP, INC.",Major Banks,Finance
BWXT,"BWX TECHNOLOGIES, INC.",Industrial Machinery/Components,Energy
BXC,BLUELINX HOLDINGS INC.,Wholesale Distributors,Capital Goods
BXG,BLUEGREEN VACATIONS CORPORATION,Real Estate,Finance
BXP,"BOSTON PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
BXS,BANCORPSOUTH BANK,,
BYD,BOYD GAMING CORPORATION,Hotels/Resorts,Consumer Services
BZH,"BEAZER HOMES USA, INC.",Homebuilding,Capital Goods
C,CITIGROUP INC.,Major Banks,Finance
CAAS,"CHINA AUTOMOTIVE SYSTEMS, INC.",Auto Parts:O.E.M.,Capital Goods
CABO,"CABLE ONE, INC.",Television Services,Consumer Services
CAC,CAMDEN NATIONAL CORPORATION,Major Banks,Finance
CACC,CREDIT ACCEPTANCE CORPORATION,Finance: Consumer Services,Finance
CACI,"CACI INTERNATIONAL, INC.",EDP Services,Technology
CADE,CADENCE BANCORPORATION,Major Banks,Finance
CAE,CAE INC,Industrial Machinery/Components,Miscellaneous
CAG,"CONAGRA BRANDS, INC.",Packaged Foods,Consumer Non-Durables
CAH,"CARDINAL HEALTH, INC.",Other Pharmaceuticals,Health Care
CAI,"CAI INTERNATIONAL, INC.",Diversified Commercial Services,Technology
CAKE,THE CHEESECAKE FACTORY INCORPORATED,Restaurants,Consumer Services
CAL,"CALERES, INC.",Shoe Manufacturing,Consumer Non-Durables
CALA,"CALITHERA BIOSCIENCES, INC.",Major Pharmaceuticals,Health Care
CALM,"CAL-MAINE FOODS, INC.",Farming/Seeds/Milling,Consumer Non-Durables
CALX,"CALIX, INC",Telecommunications Equipment,Consumer Services
CAMP,CALAMP CORP.,Radio And Television Broadcasting And Communications Equipment,Technology
CAR,"AVIS BUDGET GROUP, INC.",Rental/Leasing Companies,Consumer Services
CARA,"CARA THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
CARS,CARS.COM INC.,EDP Services,Technology
CASH,"META FINANCIAL GROUP, INC.",Major Banks,Finance
CASS,"CASS INFORMATION SYSTEMS, INC",Business Services,Miscellaneous
CASY,"CASEYS GENERAL STORES, INC.",Automotive Aftermarket,Consumer Durables
CAT,"CATERPILLAR, INC.",Construction/Ag Equipment/Trucks,Capital Goods
CATM,CARDTRONICS PLC,Business Services,Miscellaneous
CATO,CATO CORPORATION (THE),Clothing/Shoe/Accessory Stores,Consumer Services
CATY,CATHAY GENERAL BANCORP,Major Banks,Finance
CB,CHUBB LIMITED,Property-Casualty Insurers,Finance
CBB,CINCINNATI BELL INC,Telecommunications Equipment,Public Utilities
CBL,"CBL & ASSOCIATES PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
CBLI,"CLEVELAND BIOLABS, INC.",Biotechnology: Commercial Physical & Biological Resarch,Health Care
CBNK,"CAPITAL BANCORP, INC.",Major Banks,Finance
CBOE,"CBOE GLOBAL MARKETS, INC.",,
CBRL,"CRACKER BARREL OLD COUNTRY STORE, INC.",Restaurants,Consumer Services
CBSH,"COMMERCE BANCSHARES, INC.",Major Banks,Finance
CBT,CABOT CORPORATION,Major Chemicals,Basic Industries
CBU,"COMMUNITY BANK SYSTEM, INC.",Major Banks,Finance
CBZ,"CBIZ, INC.",Business Services,Miscellaneous
CC,CHEMOURS COMPANY (THE),Major Chemicals,Basic Industries
CCBG,CAPITAL CITY BANK GROUP,Major Banks,Finance
CCC,CLARIVATE PLC,EDP Services,Technology
CCF,CHASE CORPORATION,Building Products,Consumer Durables
CCI,CROWN CASTLE INTERNATIONAL CORPORATION,,
CCK,"CROWN HOLDINGS, INC.",Containers/Packaging,Consumer Durables
CCL,CARNIVAL CORPORATION,Marine Transportation,Consumer Services
CCMP,CABOT MICROELECTRONICS CORPORATION,Semiconductors,Technology
CCNE,CNB FINANCIAL CORPORATION,Major Banks,Finance
CCO,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",Advertising,Consumer Services
CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC.",Telecommunications Equipment,Consumer Services
CCRN,"CROSS COUNTRY HEALTHCARE, INC.",Professional Services,Technology
CCS,"CENTURY COMMUNITIES, INC.",Homebuilding,Capital Goods
CCU,"COMPANIA CERVECERIAS UNIDAS, S.A.",Beverages (Production/Distribution),Consumer Non-Durables
CCXI,"CHEMOCENTRYX, INC.",Major Pharmaceuticals,Health Care
CDE,"COEUR MINING, INC.",Precious Metals,Basic Industries
CDEV,"CENTENNIAL RESOURCE DEVELOPMENT, INC.",Oil & Gas Production,Energy
CDK,"CDK GLOBAL, INC.",Business Services,Miscellaneous
CDNS,"CADENCE DESIGN SYSTEMS, INC.",Computer Software: Prepackaged Software,Technology
CDR,"CEDAR REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
CDW,CDW CORPORATION,Catalog/Specialty Distribution,Consumer Services
CDXS,"CODEXIS, INC.",Major Chemicals,Basic Industries
CDZI,"CADIZ, INC.",Water Supply,Public Utilities
CE,CELANESE CORPORATION,Major Chemicals,Basic Industries
CECE,CECO ENVIRONMENTAL CORP.,Pollution Control Equipment,Capital Goods
CEM,CLEARBRIDGE MLP AND MIDSTREAM FUND INC.,,
CENT,CENTRAL GARDEN & PET COMPANY,Consumer Specialties,Consumer Durables
CENTA,CENTRAL GARDEN & PET COMPANY,Consumer Specialties,Consumer Durables
CENX,CENTURY ALUMINUM COMPANY,Aluminum,Basic Industries
CERN,CERNER CORPORATION,EDP Services,Technology
CERS,CERUS CORPORATION,Medical/Dental Instruments,Health Care
CETV,CENTRAL EUROPEAN MEDIA ENTERPRISES LTD.,Broadcasting,Consumer Services
CEVA,"CEVA, INC.",Semiconductors,Technology
CF,"CF INDUSTRIES HOLDINGS, INC.",Agricultural Chemicals,Basic Industries
CFFI,C&F FINANCIAL CORPORATION,Major Banks,Finance
CFFN,"CAPITOL FEDERAL FINANCIAL, INC.",Savings Institutions,Finance
CFG,"CITIZENS FINANCIAL GROUP, INC.",Major Banks,Finance
CFMS,"CONFORMIS, INC.",Industrial Specialties,Health Care
CFR,"CULLEN/FROST BANKERS, INC.",Major Banks,Finance
CFX,COLFAX CORPORATION,Fluid Controls,Capital Goods
CGA,"CHINA GREEN AGRICULTURE, INC.",Agricultural Chemicals,Basic Industries
CGNX,COGNEX CORPORATION,Industrial Machinery/Components,Capital Goods
CHB,,,
CHCO,CITY HOLDING COMPANY,Major Banks,Finance
CHCT,COMMUNITY HEALTHCARE TRUST INCORPORATED,Real Estate Investment Trusts,Consumer Services
CHD,"CHURCH & DWIGHT COMPANY, INC.",Package Goods/Cosmetics,Basic Industries
CHDN,"CHURCHILL DOWNS, INCORPORATED",Services-Misc. Amusement & Recreation,Consumer Services
CHE,CHEMED CORP.,Medical/Nursing Services,Health Care
CHEF,"THE CHEFS' WAREHOUSE, INC.",Food Distributors,Consumer Non-Durables
CHGG,"CHEGG, INC.",Other Consumer Services,Consumer Services
CHH,"CHOICE HOTELS INTERNATIONAL, INC.",Hotels/Resorts,Consumer Services
CHIC,GLOBAL X FUNDS GLOBAL X MSCI CHINA COMMUNICATION SERVICES ETF,,
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,Computer Software: Prepackaged Software,Technology
CHMG,CHEMUNG FINANCIAL CORP,Major Banks,Finance
CHMI,CHERRY HILL MORTGAGE INVESTMENT CORPORATION,Real Estate Investment Trusts,Consumer Services
CHRS,"COHERUS BIOSCIENCES, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Oil Refining/Marketing,Transportation
CHS,"CHICO'S FAS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
CHTR,"CHARTER COMMUNICATIONS, INC.",Television Services,Consumer Services
CHUY,"CHUY'S HOLDINGS, INC.",Restaurants,Consumer Services
CI,CIGNA CORPORATION,Medical Specialities,Health Care
CIA,"CITIZENS, INC.",Life Insurance,Finance
CIEN,CIENA CORPORATION,Telecommunications Equipment,Public Utilities
CIM,CHIMERA INVESTMENT CORPORATION,Real Estate Investment Trusts,Consumer Services
CINF,CINCINNATI FINANCIAL CORPORATION,Property-Casualty Insurers,Finance
CIO,"CITY OFFICE REIT, INC.",Real Estate Investment Trusts,Consumer Services
CIR,"CIRCOR INTERNATIONAL, INC.",Metal Fabrications,Capital Goods
CIT,CIT GROUP INC (DEL),Major Banks,Finance
CIVB,"CIVISTA BANCSHARES, INC.",Major Banks,Finance
CIX,COMPX INTERNATIONAL INC.,Industrial Machinery/Components,Capital Goods
CIZN,CITIZENS HOLDING COMPANY,Major Banks,Finance
CKH,"SEACOR HOLDINGS, INC.",Marine Transportation,Transportation
CL,COLGATE-PALMOLIVE COMPANY,Package Goods/Cosmetics,Consumer Non-Durables
CLB,CORE LABORATORIES N.V.,Oilfield Services/Equipment,Energy
CLCT,"COLLECTORS UNIVERSE, INC.",Business Services,Miscellaneous
CLDR,"CLOUDERA, INC.",Computer Software: Prepackaged Software,Technology
CLDT,CHATHAM LODGING TRUST (REIT),Real Estate Investment Trusts,Consumer Services
CLDX,"CELLDEX THERAPEUTICS, INC.",Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care
CLF,CLEVELAND-CLIFFS INC.,Precious Metals,Basic Industries
CLFD,"CLEARFIELD, INC.",Telecommunications Equipment,Public Utilities
CLGX,"CORELOGIC, INC.",EDP Services,Technology
CLH,"CLEAN HARBORS, INC.",Environmental Services,Basic Industries
CLI,MACK-CALI REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
CLNE,CLEAN ENERGY FUELS CORP.,Natural Gas Distribution,Public Utilities
CLNY,"COLONY CAPITAL, INC.",Real Estate Investment Trusts,Consumer Services
CLPR,CLIPPER REALTY INC.,Real Estate Investment Trusts,Consumer Services
CLR,"CONTINENTAL RESOURCES, INC.",Oil & Gas Production,Energy
CLSD,"CLEARSIDE BIOMEDICAL, INC.",Major Pharmaceuticals,Health Care
CLUB,"TOWN SPORTS INTERNATIONAL HOLDINGS, INC.",Hotels/Resorts,Consumer Services
CLVS,"CLOVIS ONCOLOGY, INC.",Major Pharmaceuticals,Health Care
CLW,CLEARWATER PAPER CORPORATION,Paper,Basic Industries
CLX,CLOROX COMPANY (THE),Specialty Chemicals,Consumer Durables
CMA,COMERICA INCORPORATED,Major Banks,Finance
CMC,COMMERCIAL METALS COMPANY,Steel/Iron Ore,Basic Industries
CMCO,COLUMBUS MCKINNON CORPORATION,Construction/Ag Equipment/Trucks,Capital Goods
CMCSA,COMCAST CORPORATION,Television Services,Consumer Services
CMD,CANTEL MEDICAL CORP.,Medical/Dental Instruments,Health Care
CME,CME GROUP INC.,Investment Bankers/Brokers/Service,Finance
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Restaurants,Consumer Services
CMI,CUMMINS INC.,Industrial Machinery/Components,Energy
CMLS,CUMULUS MEDIA INC.,Broadcasting,Consumer Services
CMO,CAPSTEAD MORTGAGE CORPORATION,Real Estate Investment Trusts,Consumer Services
CMP,"COMPASS MINERALS INTERNATIONAL, INC.",Mining & Quarrying of Nonmetallic Minerals (No Fuels),Basic Industries
CMPR,CIMPRESS PLC,Publishing,Miscellaneous
CMRE,COSTAMARE INC.,Marine Transportation,Transportation
CMRX,"CHIMERIX, INC.",Major Pharmaceuticals,Health Care
CMS,CMS ENERGY CORPORATION,Power Generation,Public Utilities
CMT,CORE MOLDING TECHNOLOGIES INC,Plastic Products,Consumer Non-Durables
CMTL,COMTECH TELECOMMUNICATIONS CORP.,Radio And Television Broadcasting And Communications Equipment,Technology
CNA,CNA FINANCIAL CORPORATION,Property-Casualty Insurers,Finance
CNBKA,"CENTURY BANCORP, INC.",Major Banks,Finance
CNC,CENTENE CORPORATION,Medical Specialities,Health Care
CNCE,"CONCERT PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
CNDT,CONDUENT INCORPORATED,Business Services,Miscellaneous
CNET,"CHINANET ONLINE HOLDINGS, INC.","Computer Software: Programming, Data Processing",Technology
CNK,CINEMARK HOLDINGS INC,Movies/Entertainment,Consumer Services
CNMD,CONMED CORPORATION,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
CNO,"CNO FINANCIAL GROUP, INC.",Accident &Health Insurance,Finance
CNOB,"CONNECTONE BANCORP, INC.",Major Banks,Finance
CNP,"CENTERPOINT ENERGY, INC.",Electric Utilities: Central,Public Utilities
CNS,COHEN & STEERS INC,Investment Managers,Finance
CNSL,"CONSOLIDATED COMMUNICATIONS HOLDINGS, INC.",Telecommunications Equipment,Public Utilities
CNTY,"CENTURY CASINOS, INC.",Hotels/Resorts,Consumer Services
CNX,CNX RESOURCES CORPORATION,Oil & Gas Production,Energy
CNXN,"PC CONNECTION, INC.",Catalog/Specialty Distribution,Consumer Services
CODI,COMPASS DIVERSIFIED,Home Furnishings,Consumer Durables
COF,CAPITAL ONE FINANCIAL CORPORATION,Major Banks,Finance
COG,CABOT OIL & GAS CORPORATION,Oil & Gas Production,Energy
COHR,"COHERENT, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
COHU,"COHU, INC.",Electrical Products,Capital Goods
COKE,"COCA-COLA CONSOLIDATED, INC.",Beverages (Production/Distribution),Consumer Non-Durables
COLB,"COLUMBIA BANKING SYSTEM, INC.",Major Banks,Finance
COLL,"COLLEGIUM PHARMACEUTICAL, INC.",Major Pharmaceuticals,Health Care
COLM,COLUMBIA SPORTSWEAR COMPANY,Apparel,Consumer Non-Durables
COMM,"COMMSCOPE HOLDING COMPANY, INC.",Radio And Television Broadcasting And Communications Equipment,Technology
COMS,,,
CONE,CYRUSONE INC,Real Estate Investment Trusts,Consumer Services
CONN,"CONN'S, INC.",Consumer Electronics/Video Chains,Consumer Services
COO,"THE COOPER COMPANIES, INC.",Ophthalmic Goods,Health Care
COP,CONOCOPHILLIPS,Integrated oil Companies,Energy
COR,CORESITE REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
CORE,"CORE-MARK HOLDING COMPANY, INC.",Food Distributors,Consumer Non-Durables
CORP,PIMCO INVESTMENT GRADE CORPORATE BOND INDEX EXCHANGE-TRADED FU,Exchange Traded Fund,Financial
CORR,"CORENERGY INFRASTRUCTURE TRUST, INC.",Real Estate Investment Trusts,Consumer Services
CORT,CORCEPT THERAPEUTICS INCORPORATED,Major Pharmaceuticals,Health Care
COST,COSTCO WHOLESALE CORPORATION,Department/Specialty Retail Stores,Consumer Services
COTY,COTY INC.,Package Goods/Cosmetics,Consumer Non-Durables
COUP,COUPA SOFTWARE INCORPORATED,Computer Software: Prepackaged Software,Technology
COWN,COWEN INC.,Investment Bankers/Brokers/Service,Finance
CPA,"COPA HOLDINGS, S.A.",Air Freight/Delivery Services,Transportation
CPB,CAMPBELL SOUP COMPANY,Packaged Foods,Consumer Non-Durables
CPE,CALLON PETROLEUM COMPANY,Oil & Gas Production,Energy
CPF,CPB INC.,Major Banks,Finance
CPK,CHESAPEAKE UTILITIES CORPORATION,Oil & Gas Production,Public Utilities
CPRT,"COPART, INC.",Automotive Aftermarket,Consumer Durables
CPRX,"CATALYST PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
CPS,COOPER-STANDARD HOLDINGS INC.,Auto Parts:O.E.M.,Capital Goods
CPSI,"COMPUTER PROGRAMS AND SYSTEMS, INC.",EDP Services,Technology
CPSS,"CONSUMER PORTFOLIO SERVICES, INC.",Finance: Consumer Services,Finance
CPST,CAPSTONE TURBINE CORPORATION,Industrial Machinery/Components,Energy
CPT,CAMDEN PROPERTY TRUST,Real Estate Investment Trusts,Consumer Services
CR,CRANE CO.,Metal Fabrications,Capital Goods
CRAI,"CRA INTERNATIONAL,INC.",Other Consumer Services,Miscellaneous
CRBP,"CORBUS PHARMACEUTICALS HOLDINGS, INC.",Major Pharmaceuticals,Health Care
CRD-B,CRAWFORD & COMPANY,,
CRI,"CARTER'S, INC.",Apparel,Consumer Non-Durables
CRIS,"CURIS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
CRK,"COMSTOCK RESOURCES, INC.",Oil & Gas Production,Energy
CRL,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",Biotechnology: Commercial Physical & Biological Resarch,Health Care
CRM,SALESFORCE.COM INC,Computer Software: Prepackaged Software,Technology
CRMT,"AMERICA'S CAR-MART, INC.",Automotive Aftermarket,Consumer Durables
CROX,"CROCS, INC.",Shoe Manufacturing,Consumer Non-Durables
CRS,CARPENTER TECHNOLOGY CORPORATION,Steel/Iron Ore,Basic Industries
CRTX,"CORTEXYME, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
CRUS,"CIRRUS LOGIC, INC.",Semiconductors,Technology
CRVL,CORVEL CORP.,Specialty Insurers,Finance
CRVS,"CORVUS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
CRY,"CRYOLIFE, INC.",Medical/Dental Instruments,Health Care
CSA,VICTORYSHARES US SMALL CAP VOLATILITY WTD ETF,,
CSCO,"CISCO SYSTEMS, INC.",Computer Communications Equipment,Technology
CSGP,"COSTAR GROUP, INC.",Business Services,Miscellaneous
CSGS,"CSG SYSTEMS INTERNATIONAL, INC.",EDP Services,Technology
CSII,"CARDIOVASCULAR SYSTEMS, INC.",Medical/Dental Instruments,Health Care
CSL,CARLISLE COMPANIES INCORPORATED,Specialty Chemicals,Basic Industries
CSLT,"CASTLIGHT HEALTH, INC.",EDP Services,Technology
CSOD,"CORNERSTONE ONDEMAND, INC.",Computer Software: Prepackaged Software,Technology
CSTE,CAESARSTONE LTD.,Building Materials,Capital Goods
CSTR,"CAPSTAR FINANCIAL HOLDINGS, INC.",Major Banks,Finance
CSU,CAPITAL SENIOR LIVING CORPORATION,Hospital/Nursing Management,Health Care
CSV,"CARRIAGE SERVICES, INC.",Other Consumer Services,Consumer Services
CSWC,CAPITAL SOUTHWEST CORPORATION,Textiles,Consumer Non-Durables
CSWI,"CSW INDUSTRIALS, INC.",Home Furnishings,Basic Industries
CSX,CSX CORPORATION,Railroads,Transportation
CTAS,CINTAS CORPORATION,Apparel,Consumer Non-Durables
CTB,COOPER TIRE & RUBBER COMPANY,Automotive Aftermarket,Consumer Durables
CTBI,"COMMUNITY TRUST BANCORP, INC.",Major Banks,Finance
CTIC,CTI BIOPHARMA CORP.,Major Pharmaceuticals,Health Care
CTL,"CENTURYLINK, INC.",Telecommunications Equipment,Public Utilities
CTLT,"CATALENT, INC.",Major Pharmaceuticals,Health Care
CTMX,"CYTOMX THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
CTO,"CTO REALTY GROWTH, INC.",Real Estate,Finance
CTR,CLEARBRIDGE MLP AND MIDSTREAM TOTAL RETURN FUND IN,,
CTRE,"CARETRUST REIT, INC.",Real Estate Investment Trusts,Consumer Services
CTRN,"CITI TRENDS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
CTS,CTS CORPORATION,Electrical Products,Technology
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,EDP Services,Technology
CTT,"CATCHMARK TIMBER TRUST, INC.",Real Estate Investment Trusts,Consumer Services
CTXS,"CITRIX SYSTEMS, INC.",Computer Software: Prepackaged Software,Technology
CUB,CUBIC CORPORATION,Industrial Machinery/Components,Capital Goods
CUBE,CUBESMART,Real Estate Investment Trusts,Consumer Services
CUBI,"CUSTOMERS BANCORP, INC",Major Banks,Finance
CUTR,"CUTERA, INC.",Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care
CUZ,COUSINS PROPERTIES INCORPORATED,Real Estate Investment Trusts,Consumer Services
CVA,COVANTA HOLDING CORPORATION,Electric Utilities: Central,Basic Industries
CVBF,CVB FINANCIAL CORPORATION,Major Banks,Finance
CVCO,"CAVCO INDUSTRIES, INC.",Homebuilding,Basic Industries
CVCY,CENTRAL VALLEY COMMUNITY BANCORP,Major Banks,Finance
CVGI,"COMMERCIAL VEHICLE GROUP, INC.",Auto Parts:O.E.M.,Capital Goods
CVGW,"CALAVO GROWERS, INC.",Farming/Seeds/Milling,Consumer Non-Durables
CVI,CVR ENERGY INC.,Integrated oil Companies,Energy
CVLT,"COMMVAULT SYSTEMS, INC.",Computer Software: Prepackaged Software,Technology
CVLY,"CODORUS VALLEY BANCORP, INC",Savings Institutions,Finance
CVNA,CARVANA CO.,Automotive Aftermarket,Consumer Durables
CVS,CVS HEALTH CORPORATION,Medical/Nursing Services,Health Care
CVX,CHEVRON CORPORATION,Integrated oil Companies,Energy
CW,CURTISS-WRIGHT CORPORATION,Industrial Machinery/Components,Technology
CWCO,CONSOLIDATED WATER CO. LTD.,Water Supply,Public Utilities
CWH,"CAMPING WORLD HOLDINGS, INC.",Automotive Aftermarket,Consumer Durables
CWST,"CASELLA WASTE SYSTEMS, INC.",Environmental Services,Public Utilities
CWT,CALIFORNIA WATER SERVICE GROUP HOLDING,Water Supply,Public Utilities
CXO,CONCHO RESOURCES INC.,Oil & Gas Production,Energy
CXP,"COLUMBIA PROPERTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
CXW,"CORECIVIC, INC.",Real Estate Investment Trusts,Consumer Services
CYBE,CYBEROPTICS CORPORATION,Electronic Components,Capital Goods
CYH,"COMMUNITY HEALTH SYSTEMS, INC.",Hospital/Nursing Management,Health Care
CYTK,"CYTOKINETICS, INCORPORATED",Major Pharmaceuticals,Health Care
CZNC,CITIZENS & NORTHERN CORP,Major Banks,Finance
CZR,"CAESARS ENTERTAINMENT, INC.",Hotels/Resorts,Consumer Services
D,"DOMINION ENERGY, INC.",Electric Utilities: Central,Public Utilities
DAKT,"DAKTRONICS, INC.",Miscellaneous manufacturing industries,Consumer Durables
DAL,"DELTA AIR LINES, INC.",Air Freight/Delivery Services,Transportation
DAN,DANA INCORPORATED,Auto Parts:O.E.M.,Capital Goods
DAR,DARLING INGREDIENTS INC.,Packaged Foods,Consumer Non-Durables
DBD,DIEBOLD NIXDORF INCORPORATED,Office Equipment/Supplies/Services,Miscellaneous
DCI,"DONALDSON COMPANY, INC.",Pollution Control Equipment,Capital Goods
DCO,DUCOMMUN INCORPORATED,Military/Government/Technical,Capital Goods
DCOM,"DIME COMMUNITY BANCSHARES, INC.",Savings Institutions,Finance
DCP,DCP MIDSTREAM LP,Natural Gas Distribution,Public Utilities
DCT,"DUCK CREEK TECHNOLOGIES, INC.",Computer Software: Prepackaged Software,Technology
DCTH,"DELCATH SYSTEMS, INC.",Medical/Dental Instruments,Health Care
DD,"DUPONT DE NEMOURS, INC.",Major Chemicals,Basic Industries
DDD,3D SYSTEMS CORPORATION,Computer Software: Prepackaged Software,Technology
DDS,"DILLARD'S, INC.",Department/Specialty Retail Stores,Consumer Services
DE,DEERE & COMPANY,Industrial Machinery/Components,Capital Goods
DEA,"EASTERLY GOVERNMENT PROPERTIES, INC.",Real Estate Investment Trusts,Consumer Services
DECK,DECKERS OUTDOOR CORPORATION,Shoe Manufacturing,Consumer Non-Durables
DEI,"DOUGLAS EMMETT, INC.",Real Estate Investment Trusts,Consumer Services
DELL,DELL TECHNOLOGIES INC.,Computer Manufacturing,Technology
DENN,DENNY'S CORPORATION,Restaurants,Consumer Services
DFIN,"DONNELLEY FINANCIAL SOLUTIONS, INC.",Other Consumer Services,Consumer Services
DFS,DISCOVER FINANCIAL SERVICES,Finance: Consumer Services,Finance
DG,DOLLAR GENERAL CORPORATION,Department/Specialty Retail Stores,Consumer Services
DGICA,"DONEGAL GROUP, INC.",Property-Casualty Insurers,Finance
DGII,DIGI INTERNATIONAL INC.,Computer Communications Equipment,Technology
DGX,QUEST DIAGNOSTICS INCORPORATED,Medical Specialities,Health Care
DHI,"D.R. HORTON, INC.",Homebuilding,Capital Goods
DHIL,"DIAMOND HILL INVESTMENT GROUP, INC.",Investment Managers,Finance
DHR,DANAHER CORPORATION,Industrial Machinery/Components,Capital Goods
DHT,"DHT HOLDINGS, INC.",Marine Transportation,Transportation
DHX,"DHI GROUP, INC.",Business Services,Miscellaneous
DIN,"DINE BRANDS GLOBAL, INC.",Restaurants,Consumer Services
DIOD,DIODES INCORPORATED,Semiconductors,Technology
DIS,WALT DISNEY COMPANY (THE),Services-Misc. Amusement & Recreation,Consumer Services
DISCA,"DISCOVERY, INC.",Television Services,Consumer Services
DISCK,"DISCOVERY, INC.",Television Services,Consumer Services
DISH,DISH NETWORK CORPORATION,Television Services,Consumer Services
DJCO,DAILY JOURNAL CORP. (S.C.),Newspapers/Magazines,Consumer Services
DK,"DELEK US HOLDINGS, INC.",Integrated oil Companies,Energy
DKS,DICK'S SPORTING GOODS INC,Other Specialty Stores,Consumer Services
DLA,"DELTA APPAREL, INC.",Apparel,Consumer Non-Durables
DLB,DOLBY LABORATORIES,Multi-Sector Companies,Miscellaneous
DLPH,DELPHI TECHNOLOGIES PLC,Auto Parts:O.E.M.,Capital Goods
DLR,"DIGITAL REALTY TRUST, INC.",Real Estate Investment Trusts,Consumer Services
DLTH,DULUTH HOLDINGS INC.,Clothing/Shoe/Accessory Stores,Consumer Services
DLTR,"DOLLAR TREE, INC.",Department/Specialty Retail Stores,Consumer Services
DLX,DELUXE CORPORATION,Publishing,Consumer Durables
DMRC,DIGIMARC CORPORATION,EDP Services,Technology
DNB,"DUN & BRADSTREET HOLDINGS, INC.",Finance: Consumer Services,Finance
DNKN,"DUNKIN' BRANDS GROUP, INC.",Restaurants,Consumer Services
DNOW,NOW INC.,Metal Fabrications,Energy
DOC,PHYSICIANS REALTY TRUST,Real Estate Investment Trusts,Consumer Services
DOOR,MASONITE INTERNATIONAL CORPORATION,Forest Products,Basic Industries
DORM,"DORMAN PRODUCTS, INC.",Auto Parts:O.E.M.,Capital Goods
DOV,DOVER CORPORATION,Industrial Machinery/Components,Technology
DOW,DOW INC.,Major Chemicals,Basic Industries
DOX,AMDOCS LIMITED,EDP Services,Technology
DPZ,DOMINO'S PIZZA INC,Food Distributors,Consumer Non-Durables
DRE,DUKE REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
DRH,DIAMONDROCK HOSPITALITY COMPANY,Real Estate Investment Trusts,Consumer Services
