company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
TPR,3.58B,1.08,1.39,-3.64%,5.86%,-6.88%
TGT,54.85B,4.64,0.76,4.20%,7.03%,28.27%
TEL,20.85B,1.98,1.31,5.36%,6.92%,7.36%
FTI,3.10B,0.39,2.35,-41.77%,2.83%,-78.12%
TFX,13.58B,4.56,0.98,21.12%,4.90%,19.54%
TXN,92.08B,10.34,1.15,35.23%,19.98%,61.21%
TXT,6.07B,1.10,1.61,5.16%,4.33%,12.74%
TMO,112.01B,3.77,1.05,14.31%,4.66%,13.04%
TIF,16.24B,5.19,1.04,12.23%,7.75%,16.74%
TJX,71.04B,12.82,0.70,7.84%,14.35%,59.51%
TSCO,9.77B,6.24,0.95,6.71%,8.25%,40.10%
TT,19.76B,2.72,1.38,7.19%,7.09%,20.35%
TDG,17.30B,N/A,1.46,18.67%,8.47%,N/A
TRV,25.12B,0.97,0.89,7.63%,1.86%,9.79%
TFC,41.56B,0.68,1.47,25.07%,0.95%,7.23%
TWTR,19.26B,2.21,0.78,36.39%,1.34%,15.95%
TSN,21.08B,1.46,0.67,4.52%,5.56%,14.07%
UDR,10.77B,3.25,0.61,13.65%,1.52%,4.30%
ULTA,15.31B,8.29,1.45,9.54%,13.98%,37.93%
USB,51.88B,1.13,1.19,30.80%,1.26%,12.24%
UAA,3.92B,1.94,1.22,-10.42%,1.16%,-28.89%
UA,3.92B,1.70,1.22,-10.42%,1.16%,-28.89%
UNP,95.70B,5.28,1.07,27.85%,8.90%,35.58%
UAL,7.80B,0.68,1.49,2.43%,3.84%,10.54%
UNH,236.16B,4.10,0.72,5.58%,7.08%,23.96%
UPS,80.40B,24.61,0.83,5.73%,5.83%,126.33%
URI,7.41B,1.94,2.27,12.52%,7.47%,33.44%
UHS,8.48B,1.54,1.05,6.34%,6.48%,13.30%
UNM,3.05B,0.31,1.71,8.25%,1.39%,10.40%
VFC,21.35B,4.67,0.97,6.48%,7.82%,16.44%
VLO,18.49B,0.85,1.97,0.43%,1.62%,4.16%
VAR,9.31B,5.04,1.06,6.96%,7.86%,12.85%
VTR,10.00B,0.96,1.16,19.94%,2.10%,7.37%
VRSN,20.84B,N/A,0.92,63.33%,27.63%,N/A
VRSK,22.65B,10.02,0.68,18.23%,8.12%,22.92%
VZ,222.33B,3.62,0.44,14.00%,6.79%,31.76%
VRTX,61.65B,10.13,0.91,31.35%,13.34%,27.02%
VIAC,8.81B,0.65,1.82,6.81%,7.10%,20.52%
V,354.81B,11.54,0.92,52.26%,14.02%,36.25%
VNO,6.92B,1.18,1.43,154.34%,1.60%,43.48%
VMC,14.31B,2.55,0.84,12.34%,5.29%,11.45%
WRB,9.38B,1.54,0.79,6.39%,1.74%,8.80%
WAB,9.16B,0.92,1.51,5.19%,3.25%,4.51%
WMT,344.44B,4.61,0.32,2.84%,5.89%,18.86%
WBA,40.54B,1.70,0.56,2.52%,3.22%,14.14%
DIS,172.04B,1.92,1.08,6.88%,2.77%,5.01%
WM,39.06B,5.53,0.75,10.87%,6.73%,25.60%
WAT,11.27B,N/A,0.95,22.77%,14.42%,170.47%
WEC,27.80B,2.74,0.21,16.08%,3.02%,11.32%
WFC,117.57B,0.71,1.19,19.02%,0.75%,7.63%
WELL,19.11B,1.23,0.87,24.71%,2.39%,8.04%
WDC,12.44B,1.33,1.68,-3.70%,-0.62%,-6.12%
WU,7.45B,N/A,0.91,20.64%,7.24%,N/A
WRK,7.32B,0.62,1.57,4.67%,3.03%,7.38%
WY,12.65B,1.55,1.92,5.47%,2.41%,4.30%
WHR,5.32B,1.66,1.98,4.33%,4.07%,22.63%
WMB,17.16B,1.29,1.78,1.71%,3.41%,-0.35%
WLTW,21.86B,2.13,0.77,11.55%,2.77%,10.60%
WYNN,6.49B,3.73,2.53,-6.49%,1.91%,-20.54%
XEL,31.66B,2.39,0.29,12.07%,2.59%,10.55%
XRX,4.03B,0.72,1.68,13.93%,4.20%,10.36%
XLNX,19.39B,7.19,0.98,25.07%,10.47%,30.63%
XYL,11.72B,3.96,1.07,7.01%,5.25%,12.79%
YUM,20.63B,N/A,0.87,19.89%,21.85%,N/A
ZBRA,9.74B,5.30,1.64,11.59%,9.82%,32.44%
ZBH,20.90B,1.69,1.33,4.84%,3.26%,3.21%
ZION,4.38B,0.65,1.68,24.36%,0.88%,8.19%
ZTS,55.89B,20.64,0.77,25.41%,12.48%,63.55%
FRAF,119.06M,0.93,0.74,26.37%,1.18%,11.65%
UFI,213.06M,0.54,0.98,-5.14%,1.99%,-9.92%
EVOP,632.83M,N/A,N/A,-1.98%,0.99%,-15.11%
PACB,471.10M,8.58,1.69,-58.35%,-24.69%,-67.69%
SAFM,3.06B,2.16,0.67,0.93%,1.47%,2.38%
KLXE,99.79M,0.30,N/A,-17.72%,-0.41%,-29.53%
PEBO,459.40M,0.76,0.94,20.74%,0.91%,6.89%
SMTC,3.17B,4.60,1.64,5.82%,3.00%,4.69%
CVGW,1.35B,4.75,1.01,2.58%,7.66%,11.16%
NDLS,207.92M,4.11,1.01,-0.52%,1.57%,-5.16%
NE,65.25M,0.02,2.48,-136.16%,0.45%,-52.09%
HSTM,766.47M,2.27,0.47,6.74%,2.16%,5.00%
SBT,406.64M,1.16,1.04,42.96%,1.77%,16.38%
TOCA,29.18M,2.69,-0.01,0.00%,-57.82%,-241.66%
TREX,4.64B,10.32,1.64,20.31%,21.88%,38.19%
LSTR,3.68B,5.10,0.96,5.15%,13.09%,30.29%
WK,1.52B,23.28,1.19,-16.33%,-6.60%,-139.20%
AEO,2.40B,1.91,1.12,4.44%,7.60%,15.09%
ABEO,175.61M,0.98,1.58,0.00%,-26.87%,-84.65%
AMOT,230.15M,1.93,1.77,4.49%,5.53%,14.52%
MNR,1.18B,1.77,0.80,-17.69%,2.62%,-3.00%
STL,2.03B,0.46,1.69,39.15%,1.13%,7.68%
LECO,4.10B,5.01,1.26,9.41%,10.53%,36.17%
GLUU,953.46M,4.69,0.78,-0.01%,-0.38%,-0.03%
DTIL,310.20M,2.24,N/A,0.00%,-31.24%,-139.72%
FBM,444.54M,1.09,1.65,2.36%,3.91%,13.10%
DORM,1.79B,2.32,0.76,8.27%,7.51%,10.85%
HIBB,429.55M,1.28,1.51,2.31%,5.26%,8.22%
RRD,68.34M,N/A,2.85,-1.58%,4.47%,N/A
TILE,442.69M,1.20,1.84,-2.25%,6.92%,-10.21%
TBNK,235.52M,0.97,0.62,31.34%,0.96%,8.26%
ARR,518.74M,0.36,1.11,0.00%,-5.70%,-47.71%
ALKS,2.29B,2.11,1.40,-11.63%,-4.31%,-12.83%
GSHD,1.62B,N/A,0.80,1.27%,4.96%,N/A
NGVC,191.51M,1.20,1.05,1.56%,2.92%,9.32%
NGS,59.03M,0.24,2.07,-12.61%,0.01%,-3.85%
CNCE,262.12M,2.58,0.92,0.00%,-26.06%,-50.49%
BFAM,5.91B,6.08,0.81,8.18%,4.86%,19.06%
DBX,7.52B,9.30,0.88,-0.33%,-0.84%,-0.76%
HLF,4.02B,N/A,0.95,5.24%,11.40%,N/A
CORR,609.80M,1.74,1.31,4.75%,4.65%,0.88%
PRA,1.35B,0.70,0.37,-5.67%,-1.12%,-3.52%
KIDS,669.27M,4.70,0.77,-21.08%,-4.39%,-13.32%
HIW,3.68B,1.73,1.03,41.47%,2.97%,13.57%
GALT,111.78M,2.58,2.45,0.00%,-35.27%,-58.37%
LE,377.25M,1.18,2.12,1.33%,2.63%,5.75%
ELAN,8.93B,1.61,N/A,-0.42%,2.04%,-0.21%
FFWM,455.97M,0.74,1.47,27.50%,0.93%,9.77%
CSOD,1.98B,12.52,1.34,-2.45%,1.05%,-11.19%
FMBI,1.51B,0.64,1.33,25.25%,0.97%,7.54%
TSC,287.80M,0.57,2.01,32.12%,0.76%,10.54%
HMTV,335.73M,1.46,0.86,-7.57%,5.13%,-4.99%
CUB,1.29B,1.36,1.10,0.40%,1.51%,-0.77%
ARD,2.80B,N/A,1.31,23.00%,3.10%,N/A
HOFT,291.70M,1.08,0.71,2.80%,3.64%,6.36%
LXRX,208.59M,1.78,1.11,26.59%,24.86%,"1,877.21%"
PLT,1.09B,1.66,2.08,-9.69%,0.53%,-25.65%
FGEN,3.09B,5.99,1.52,-42.75%,-9.28%,-22.29%
SPRO,164.25M,2.20,2.03,0.00%,-42.82%,-80.83%
AKBA,987.31M,2.50,1.27,-76.39%,-14.54%,-55.67%
AKTS,195.21M,4.42,1.57,0.00%,-32.81%,-93.33%
NATH,298.64M,N/A,0.14,12.27%,17.18%,N/A
ICPT,2.07B,40.22,1.88,-127.53%,-35.43%,N/A
JHG,2.83B,0.58,1.53,3.88%,5.30%,1.23%
MCBC,242.89M,1.12,0.80,37.21%,1.55%,14.59%
ATEC,218.25M,5.00,1.99,-54.42%,-18.84%,-154.28%
CELC,66.65M,3.45,0.74,0.00%,-23.49%,-37.51%
SONO,923.04M,2.51,N/A,-1.95%,-2.68%,-8.57%
CDZI,405.79M,N/A,-0.64,0.00%,-11.02%,N/A
CONE,7.10B,2.92,0.44,-3.32%,0.80%,-1.40%
CCNE,290.53M,0.95,1.01,29.02%,1.12%,13.15%
RTW,25.73M,0.46,2.01,-7.45%,-7.38%,-120.16%
BGSF,77.10M,1.13,2.07,4.09%,10.04%,18.52%
ALLY,5.38B,0.37,N/A,18.34%,0.57%,7.55%
MC,1.50B,3.39,1.56,15.30%,19.05%,46.78%
SYRS,270.95M,3.42,1.57,0.00%,-39.08%,-108.43%
BHLB,745.97M,0.43,1.46,14.72%,0.51%,3.96%
CRY,638.48M,2.23,1.39,-1.69%,1.41%,-1.69%
WOW,412.99M,N/A,1.62,2.46%,4.35%,N/A
PBIP,131.65M,0.91,0.02,35.96%,0.86%,7.97%
ADNT,851.48M,0.49,3.62,-3.28%,1.55%,-18.89%
MYGN,1.07B,0.99,1.34,-19.49%,-2.43%,-14.49%
WDR,758.53M,0.94,1.50,9.76%,8.46%,12.56%
WBC,6.94B,5.18,0.74,5.78%,4.14%,14.44%
KAI,856.20M,2.01,1.35,7.76%,5.71%,13.43%
LC,548.47M,0.61,1.28,-8.42%,-1.90%,-7.08%
REV,581.08M,N/A,1.08,-12.78%,1.05%,N/A
CADE,824.63M,0.34,1.94,-43.50%,-1.47%,-11.57%
ESNT,2.60B,0.87,1.42,64.46%,11.53%,20.50%
ESRT,3.23B,2.58,0.84,6.96%,2.22%,4.33%
CWK,2.59B,1.99,N/A,-0.39%,1.55%,-2.82%
MDC,1.46B,0.82,1.48,7.01%,5.76%,13.71%
ASB,1.97B,0.54,1.28,24.72%,0.85%,7.50%
CCRN,243.26M,1.50,0.99,-6.93%,1.58%,-29.85%
BSTC,415.04M,3.33,0.87,61.80%,15.48%,21.21%
EVRI,1.13B,N/A,2.68,3.10%,3.95%,N/A
RCKY,141.43M,0.86,0.62,5.78%,5.60%,9.44%
QRTEA,2.54B,0.53,N/A,-3.99%,4.72%,-9.00%
WST,11.21B,7.12,1.07,13.80%,8.99%,18.23%
BBBY,1.37B,0.74,2.39,-5.50%,-0.48%,-28.38%
CVET,910.50M,0.72,N/A,-25.34%,-1.03%,-59.11%
ADSW,2.96B,3.20,0.33,-0.42%,1.62%,-0.75%
SBGI,1.34B,0.89,1.34,2.89%,3.42%,12.60%
CNBKA,346.55M,1.04,1.09,35.08%,0.74%,12.29%
EVBN,120.16M,0.81,1.16,20.75%,0.91%,9.56%
SFM,2.19B,3.76,0.17,3.15%,6.15%,30.16%
ATRO,281.74M,0.73,1.70,-12.89%,2.64%,-23.87%
NUAN,4.72B,3.80,0.97,8.23%,3.39%,10.77%
MLP,211.32M,9.29,0.56,-106.15%,-2.69%,-26.62%
IRMD,255.58M,4.60,1.31,24.65%,8.01%,18.60%
HAE,5.01B,8.72,N/A,7.74%,7.57%,12.20%
SASR,773.49M,0.68,1.13,29.07%,1.11%,8.69%
AM,1.01B,0.32,3.51,-71.82%,5.07%,-22.88%
EXPO,3.73B,10.64,0.24,21.63%,13.54%,26.36%
CW,3.85B,2.17,1.29,12.10%,7.69%,18.66%
HCKT,381.27M,2.77,0.75,8.23%,11.78%,16.09%
PPBI,1.13B,0.56,1.35,32.03%,1.25%,7.32%
NLY,7.25B,0.53,1.15,0.00%,-4.59%,-34.78%
RPM,8.32B,5.94,1.09,5.81%,6.73%,23.59%
MIDD,3.15B,1.62,1.54,12.10%,6.83%,19.72%
FSLR,3.82B,0.75,1.25,1.42%,2.46%,0.84%
TENB,2.19B,22.10,N/A,-26.68%,-11.01%,-87.98%
FCAP,202.34M,2.05,-0.18,28.81%,1.25%,10.71%
VCEL,412.31M,3.71,2.99,-9.39%,-5.56%,-10.80%
NKTR,3.17B,2.26,1.96,0.00%,-12.57%,-31.38%
ETM,230.94M,0.26,1.34,-29.26%,4.19%,-39.29%
BTU,281.88M,0.11,1.55,-11.03%,-1.45%,-15.56%
EOLS,139.97M,1.76,3.18,-217.51%,-29.22%,-143.22%
ALX,1.41B,5.56,0.62,20.92%,4.47%,18.17%
JEF,5.52B,0.57,1.42,17.64%,N/A,N/A
PICO,150.82M,0.85,1.00,17.30%,1.42%,1.72%
WRLD,387.73M,0.99,2.12,5.20%,4.10%,6.35%
CLXT,109.86M,1.76,2.45,0.00%,-28.60%,-61.75%
ARW,4.08B,0.85,1.46,-1.05%,2.82%,-5.77%
QLYS,3.39B,8.78,1.00,22.48%,7.31%,19.67%
GBLI,364.54M,0.50,0.53,1.06%,0.66%,0.87%
RMTI,141.55M,6.97,1.47,-54.28%,-36.06%,-159.45%
SAFE,3.23B,2.96,-0.36,34.26%,2.56%,4.36%
CORE,1.29B,2.18,0.24,0.45%,3.33%,10.59%
WAL,3.10B,1.03,1.82,43.96%,1.75%,16.17%
SAIA,1.92B,2.35,1.08,6.56%,7.12%,15.32%
CKH,548.18M,0.68,0.93,2.62%,0.93%,2.62%
EGOV,1.54B,6.26,0.33,14.10%,10.66%,21.71%
EIDX,1.89B,11.01,N/A,-183.30%,-16.84%,-30.66%
CDK,3.99B,N/A,1.33,0.34%,12.31%,N/A
FOR,497.06M,0.60,2.11,6.29%,2.43%,6.13%
ESTC,5.25B,12.22,N/A,-44.42%,-15.79%,-49.49%
CUBE,5.19B,2.88,0.27,25.75%,3.94%,9.59%
MGNX,285.94M,1.24,2.15,-222.14%,-32.17%,-59.28%
PZZA,1.71B,N/A,0.91,0.92%,5.19%,N/A
IBTX,1.02B,0.44,1.88,35.51%,1.34%,8.65%
TDS,1.92B,0.41,1.12,2.53%,1.04%,2.95%
SFL,1.74B,1.56,N/A,-6.81%,3.23%,-2.99%
CXP,1.44B,0.55,1.23,4.13%,0.43%,0.44%
NPK,618.46M,1.83,0.63,13.68%,7.04%,11.04%
KZR,166.45M,2.13,N/A,0.00%,-19.94%,-33.33%
GWGH,310.24M,2.35,-0.46,76.82%,-0.80%,4.30%
TKR,2.43B,1.30,1.79,9.40%,6.73%,20.15%
EVR,1.87B,2.15,1.88,12.94%,15.46%,30.76%
RBC,2.55B,1.08,1.40,6.37%,4.42%,8.54%
CHGG,4.42B,8.86,0.94,-2.47%,1.03%,-2.47%
MSGN,582.39M,N/A,0.56,24.28%,21.53%,N/A
SITC,1.00B,0.61,1.40,19.25%,2.27%,4.99%
TEAM,33.69B,37.64,0.98,-13.37%,-0.29%,-26.82%
DBD,272.86M,N/A,3.18,-7.02%,1.77%,N/A
DENN,427.52M,N/A,1.39,22.79%,10.77%,N/A
HHC,2.78B,0.88,1.65,-7.40%,-0.12%,-2.34%
GRUB,3.74B,2.51,1.20,-4.36%,-1.13%,-4.01%
PCSB,236.40M,0.84,0.62,17.82%,0.50%,2.93%
ALNY,12.32B,8.56,1.89,0.00%,-27.97%,-61.20%
ACNB,260.10M,1.37,0.08,20.89%,0.86%,7.91%
AHT,76.33M,0.28,N/A,-11.23%,0.93%,-55.96%
CFFI,145.94M,0.88,0.49,17.51%,1.09%,11.20%
CATO,395.18M,1.19,0.73,4.35%,3.98%,11.34%
MTG,2.15B,0.50,1.81,54.64%,9.33%,16.67%
CCK,7.82B,4.56,1.27,4.24%,4.51%,34.21%
DOX,7.34B,2.07,0.72,11.98%,6.58%,14.04%
LIVX,89.97M,21.16,1.25,-106.69%,-38.86%,-630.24%
HELE,4.14B,3.57,0.87,8.92%,7.75%,14.12%
SYNA,1.97B,2.85,1.08,-1.29%,2.52%,-2.42%
CLFD,161.49M,2.13,1.07,5.18%,3.69%,6.01%
FSTR,130.44M,0.77,1.67,5.84%,2.72%,25.55%
BCOR,576.50M,0.90,1.23,-43.62%,2.40%,-66.09%
TTMI,1.10B,0.86,2.06,1.64%,2.15%,2.54%
SSYS,874.04M,0.76,1.57,-4.93%,-1.26%,-2.67%
INN,445.52M,0.38,2.13,10.49%,1.43%,4.50%
RGCO,234.69M,2.73,-0.45,17.69%,3.50%,12.87%
ERI,1.12B,1.00,2.61,-5.62%,4.07%,-13.26%
RAMP,3.24B,2.73,1.27,-46.96%,-7.90%,-13.59%
EAF,2.17B,N/A,1.14,40.96%,35.51%,N/A
AVLR,5.82B,12.60,N/A,-13.49%,-6.75%,-17.09%
CBRL,3.66B,6.04,1.03,7.04%,9.67%,34.93%
PAG,2.25B,0.81,1.68,1.71%,2.74%,14.42%
OFG,573.84M,0.60,1.73,10.38%,0.41%,3.15%
OAS,113.44M,0.03,3.81,-242.73%,-51.27%,-260.69%
XERS,73.21M,5.07,N/A,0.00%,-56.41%,-193.02%
ATHX,512.31M,22.01,-1.77,0.00%,-61.22%,-169.44%
CMP,1.30B,2.46,1.63,5.50%,4.94%,18.33%
GLNG,1.44B,0.97,0.60,-47.23%,1.53%,-6.84%
CVLT,1.89B,4.46,0.76,-0.84%,0.00%,-1.41%
SF,2.83B,0.86,1.68,12.66%,1.75%,12.66%
NHI,2.21B,1.48,0.87,57.24%,4.71%,12.71%
USM,2.50B,0.60,0.63,3.58%,0.93%,3.49%
ZG,7.40B,2.11,1.13,-11.75%,-3.03%,-11.98%
SNX,6.43B,1.68,1.47,2.26%,5.03%,14.56%
KOS,362.81M,0.43,3.46,-13.45%,3.51%,-24.40%
TUP,79.40M,N/A,2.70,-1.92%,5.79%,N/A
ARGO,1.28B,0.72,0.88,-6.24%,-0.54%,-6.73%
PRGX,66.07M,1.25,1.21,-7.87%,-0.09%,-25.58%
CENTA,1.43B,1.44,0.30,3.57%,4.39%,8.72%
LOPE,3.62B,2.51,0.59,32.04%,10.20%,18.91%
CDLX,937.77M,6.55,2.36,-11.08%,-7.90%,-26.26%
REZI,595.91M,0.37,N/A,-0.67%,3.80%,-2.12%
AEIS,1.85B,2.74,1.53,7.02%,4.79%,9.10%
IRTC,2.20B,16.24,1.37,-24.10%,-17.41%,-63.40%
BRKS,2.25B,1.94,1.49,52.98%,2.34%,3.01%
EVER,708.45M,13.68,N/A,-1.50%,-2.88%,-8.52%
FFNW,102.37M,0.65,0.51,23.21%,0.77%,6.63%
PRSP,4.27B,1.97,N/A,2.09%,3.56%,4.27%
SR,3.78B,1.61,0.21,8.93%,2.37%,6.44%
ODC,269.47M,1.95,0.88,6.28%,5.03%,12.59%
GRPN,1.35B,4.50,1.76,-1.01%,1.54%,-3.68%
SLAB,3.75B,3.36,1.21,1.86%,1.93%,1.49%
WWW,1.23B,1.61,1.74,4.61%,3.30%,12.23%
MTSI,1.26B,4.28,2.40,-75.69%,-3.61%,-78.16%
USNA,1.21B,3.45,0.94,9.76%,18.31%,29.04%
CBT,1.47B,1.44,1.77,3.38%,6.28%,11.38%
TEUM,290.99M,1.78,1.66,-23.63%,-3.08%,-19.24%
ZUO,1.69B,10.07,2.16,-30.21%,-14.70%,-48.14%
STMP,2.22B,3.34,0.21,10.21%,6.60%,9.26%
CAI,247.27M,0.42,1.89,2.71%,2.71%,4.46%
EIGR,167.08M,2.96,1.12,0.00%,-45.24%,-145.28%
AMC,751.87M,0.64,1.70,-2.72%,1.27%,-11.42%
HA,479.72M,0.44,2.38,1.58%,3.44%,4.55%
UNFI,385.26M,0.34,1.10,-1.22%,N/A,N/A
GNRC,5.84B,5.66,0.89,11.39%,8.87%,25.62%
COLD,6.82B,3.72,0.08,4.07%,3.41%,5.65%
LSI,4.43B,2.08,0.35,44.18%,3.55%,12.36%
FRGI,101.50M,0.64,1.55,-14.64%,0.12%,-46.65%
ANGO,432.32M,0.71,0.70,17.74%,-0.43%,-1.20%
DELL,36.33B,N/A,N/A,5.01%,1.75%,499.68%
GPK,3.44B,2.19,1.27,2.18%,3.67%,8.31%
AMTB,577.32M,0.78,N/A,16.31%,0.52%,5.14%
CACC,8.12B,3.41,1.21,53.94%,9.61%,30.19%
SHO,1.88B,0.79,1.15,-4.07%,1.83%,-1.49%
MPAA,417.80M,1.49,1.55,-0.36%,3.82%,-0.66%
APY,445.62M,0.43,3.63,-55.05%,3.84%,-85.93%
HL,952.31M,0.56,1.80,-13.87%,-0.52%,-5.48%
CSII,1.24B,8.67,1.54,-4.04%,-3.13%,-7.45%
WGO,1.75B,2.22,2.26,4.37%,7.72%,14.48%
TCO,2.57B,N/A,-0.03,35.11%,2.37%,N/A
PEN,5.66B,11.64,0.67,7.04%,3.74%,8.10%
TNDM,3.87B,19.83,0.58,-4.22%,-4.32%,-10.14%
TXRH,2.86B,3.13,0.90,5.15%,5.23%,15.43%
ZNGA,6.55B,3.31,0.28,4.58%,2.14%,3.71%
XPO,4.44B,1.64,2.51,2.41%,3.78%,14.85%
TPRE,703.07M,0.50,1.02,-18.29%,-2.16%,-9.02%
MBIN,436.20M,0.99,1.01,47.19%,1.54%,15.87%
SPPI,267.42M,1.40,2.08,0.00%,-29.88%,-63.88%
LRN,772.12M,1.19,0.20,2.23%,1.97%,3.56%
WIFI,470.17M,5.10,1.22,-3.80%,-0.15%,-10.64%
R,1.42B,0.57,2.06,-2.01%,1.82%,-7.41%
CTS,805.09M,1.99,0.87,6.28%,5.28%,7.28%
PTC,7.08B,5.68,1.18,2.80%,3.49%,2.99%
WMK,1.12B,1.06,0.10,2.20%,3.81%,7.63%
AVCO,117.45M,16.53,0.81,0.00%,-93.04%,-263.57%
RCUS,638.12M,3.90,1.25,0.00%,-28.28%,-52.34%
QTRX,518.51M,4.03,1.79,-71.52%,-21.78%,-56.12%
RTRX,629.61M,2.85,0.82,-57.01%,-8.99%,-40.92%
CIT,1.70B,0.29,1.92,-11.98%,-0.39%,-3.64%
OBNK,475.39M,0.79,1.15,20.82%,0.74%,6.89%
ZUMZ,804.28M,1.88,1.80,6.47%,7.42%,15.44%
TCFC,130.42M,0.72,0.73,25.28%,0.80%,8.21%
CLCT,145.26M,6.42,1.61,14.02%,23.27%,53.72%
INDB,2.21B,1.25,1.00,32.06%,1.49%,11.26%
NDSN,9.31B,5.70,N/A,15.70%,8.02%,21.81%
PFBC,504.46M,1.07,1.46,47.71%,1.67%,16.73%
WINA,465.18M,37.37,0.83,43.76%,50.56%,N/A
TPH,1.14B,0.52,1.57,7.50%,5.09%,11.46%
BH,167.77M,0.19,2.31,-16.43%,2.03%,-19.30%
SHEN,2.45B,5.23,0.18,8.64%,3.26%,11.64%
PKOH,239.90M,0.71,1.82,1.83%,4.14%,8.87%
LM,4.25B,1.12,0.77,8.60%,N/A,6.85%
FNKO,197.38M,0.88,2.43,0.71%,4.12%,5.03%
AT,223.92M,N/A,0.52,-7.82%,2.62%,-13.67%
PDM,2.22B,1.22,0.76,34.94%,1.71%,10.71%
VGR,1.39B,N/A,0.99,5.60%,10.61%,N/A
TCBK,907.51M,0.99,0.79,28.38%,1.32%,9.94%
RVSB,113.97M,0.77,0.94,27.70%,1.35%,11.17%
CUZ,4.35B,1.00,1.01,39.64%,1.91%,7.91%
OC,4.18B,0.90,1.47,-7.84%,5.05%,-14.18%
STML,254.12M,1.55,1.34,-150.30%,-29.81%,-55.12%
AXDX,458.10M,N/A,2.90,0.00%,-30.69%,-837.84%
FOXF,1.62B,3.84,1.64,10.75%,8.09%,21.20%
HOME,362.84M,0.44,1.84,-15.71%,2.28%,-32.50%
ALSN,3.69B,4.73,1.33,21.65%,12.42%,80.05%
FHB,2.15B,0.81,1.37,35.56%,1.23%,9.60%
SHBI,135.89M,0.70,0.83,26.16%,1.02%,8.14%
JAG,1.55B,1.72,1.16,29.01%,8.51%,19.34%
WTRE,289.87M,0.33,N/A,-66.22%,-3.90%,-28.84%
ERII,413.24M,3.04,3.07,10.01%,2.83%,6.88%
STXB,187.53M,0.54,1.03,21.99%,1.06%,7.78%
GAIA,166.58M,2.42,0.83,-26.78%,-8.48%,-21.33%
IPHI,3.65B,10.54,1.31,-16.66%,-3.10%,-19.70%
CPSI,322.89M,1.75,0.56,7.67%,4.74%,11.94%
CTSO,279.29M,81.71,0.52,-62.65%,-28.53%,-98.18%
VICI,7.80B,0.98,1.20,39.66%,3.46%,5.14%
APTS,338.39M,0.18,0.87,-37.31%,-0.97%,-10.62%
SNDX,331.74M,10.50,1.93,0.00%,-35.34%,-93.31%
ZYNE,90.28M,1.19,3.04,0.00%,-29.32%,-53.85%
EML,121.69M,1.15,0.97,5.70%,5.91%,14.34%
ATKR,994.00M,3.65,1.95,8.25%,10.82%,68.97%
EXP,2.43B,2.71,1.27,-9.11%,7.40%,-11.16%
ROIC,968.24M,0.82,1.35,16.20%,2.17%,4.09%
OZK,2.16B,0.52,2.02,39.02%,1.37%,8.20%
AX,1.08B,0.94,1.43,34.39%,1.55%,16.08%
HUBG,1.56B,1.45,1.13,2.70%,4.24%,9.21%
CNXN,1.08B,1.80,1.00,2.91%,8.27%,14.78%
UMBF,2.23B,0.86,1.02,18.42%,0.73%,7.28%
ENTG,6.03B,5.17,1.28,17.57%,7.65%,26.08%
CYRX,647.47M,5.13,0.74,-53.66%,-11.79%,-23.93%
GOOD,498.48M,2.39,0.99,6.06%,2.25%,1.98%
UNT,38.57M,0.03,2.30,-82.10%,-0.51%,-41.81%
EEFT,4.47B,2.83,1.22,11.40%,7.04%,24.36%
TUSK,34.23M,0.05,1.84,-41.57%,-8.30%,-28.08%
BZH,199.77M,0.37,2.24,1.26%,1.92%,5.11%
EQC,3.85B,1.23,0.33,673.78%,0.12%,20.12%
CVLY,157.18M,0.82,0.63,17.25%,0.62%,6.21%
HQY,4.69B,4.61,1.45,7.46%,4.44%,5.26%
DDS,683.88M,0.42,0.94,-2.29%,-2.82%,-8.27%
PRMW,1.44B,1.24,1.17,1.07%,2.23%,-0.37%
GSBC,574.20M,0.94,1.08,34.87%,1.44%,12.24%
EV,4.21B,3.38,1.48,24.12%,9.22%,30.47%
ACTG,110.59M,0.64,0.53,-205.77%,-5.80%,-12.68%
ROG,1.76B,1.89,1.80,3.75%,2.10%,3.56%
TWLO,12.53B,2.93,1.36,-28.85%,-5.00%,-9.63%
GT,1.36B,0.31,2.02,-6.12%,1.63%,-19.94%
KNSL,2.33B,5.73,0.46,15.33%,3.61%,14.40%
BHF,2.43B,0.15,1.74,33.39%,1.80%,27.94%
ELOX,78.65M,2.17,2.66,0.00%,-58.15%,-174.34%
KRG,796.57M,0.62,1.26,-2.10%,1.26%,-0.43%
NBIX,8.03B,12.61,1.26,19.91%,14.73%,31.82%
MGY,1.01B,0.57,2.67,-132.38%,-47.43%,-103.40%
ABM,2.54B,1.65,1.30,2.19%,3.94%,9.42%
CARO,1.07B,1.72,N/A,N/A,N/A,N/A
OSK,4.38B,1.63,1.57,6.02%,7.75%,18.74%
NCMI,254.19M,N/A,1.12,7.74%,8.39%,N/A
NMIH,799.62M,0.86,1.89,48.69%,12.76%,22.86%
WLDN,246.73M,1.47,1.36,-0.63%,0.42%,-1.89%
NYMT,1.82B,1.19,1.95,77.06%,0.90%,10.21%
MSM,3.42B,2.27,0.92,8.05%,10.68%,20.02%
UTMD,342.53M,3.39,0.31,31.29%,10.45%,15.79%
